              x	              y	              z	           time	in	           A	       SurfA	     SurfA/A	
              0	              0	              0	            120	 1	  6.7481e-10	  6.7481e-10	  1.0000e+00	
          0.002	              0	              0	            120	 1	  6.7896e-07	  6.7896e-07	  1.0000e+00	
          0.004	              0	              0	            120	 1	  9.0452e-06	  9.0452e-06	  1.0000e+00	
          0.006	              0	              0	            120	 1	  6.1987e-05	  6.1987e-05	  1.0000e+00	
          0.008	              0	              0	            120	 1	  2.8895e-04	  2.8895e-04	  1.0000e+00	
           0.01	              0	              0	            120	 1	  1.0281e-03	  1.0281e-03	  1.0000e+00	
          0.012	              0	              0	            120	 1	  2.9753e-03	  2.9753e-03	  1.0000e+00	
          0.014	              0	              0	            120	 1	  7.2922e-03	  7.2922e-03	  1.0000e+00	
          0.016	              0	              0	            120	 1	  1.5569e-02	  1.5569e-02	  1.0000e+00	
          0.018	              0	              0	            120	 1	  2.9568e-02	  2.9568e-02	  1.0000e+00	
           0.02	              0	              0	            120	 1	  5.0767e-02	  5.0767e-02	  1.0000e+00	
          0.022	              0	              0	            120	 1	  7.9839e-02	  7.9839e-02	  1.0000e+00	
          0.024	              0	              0	            120	 1	  1.1627e-01	  1.1627e-01	  1.0000e+00	
          0.026	              0	              0	            120	 1	  1.5826e-01	  1.5826e-01	  1.0000e+00	
          0.028	              0	              0	            120	 1	  2.0300e-01	  2.0300e-01	  1.0000e+00	
           0.03	              0	              0	            120	 1	  2.4715e-01	  2.4715e-01	  1.0000e+00	
          0.032	              0	              0	            120	 1	  2.8748e-01	  2.8748e-01	  1.0000e+00	
          0.034	              0	              0	            120	 1	  3.2135e-01	  3.2135e-01	  1.0000e+00	
          0.036	              0	              0	            120	 1	  3.4702e-01	  3.4702e-01	  1.0000e+00	
          0.038	              0	              0	            120	 1	  3.6374e-01	  3.6374e-01	  1.0000e+00	
           0.04	              0	              0	            120	 1	  3.7159e-01	  3.7159e-01	  1.0000e+00	
          0.042	              0	              0	            120	 1	  3.7125e-01	  3.7125e-01	  1.0000e+00	
          0.044	              0	              0	            120	 1	  3.6371e-01	  3.6371e-01	  1.0000e+00	
          0.046	              0	              0	            120	 1	  3.5012e-01	  3.5012e-01	  1.0000e+00	
          0.048	              0	              0	            120	 1	  3.3162e-01	  3.3162e-01	  1.0000e+00	
           0.05	              0	              0	            120	 1	  3.0926e-01	  3.0926e-01	  1.0000e+00	
          0.052	              0	              0	            120	 1	  2.8408e-01	  2.8408e-01	  1.0000e+00	
          0.054	              0	              0	            120	 1	  2.5702e-01	  2.5702e-01	  1.0000e+00	
          0.056	              0	              0	            120	 1	  2.2897e-01	  2.2897e-01	  1.0000e+00	
          0.058	              0	              0	            120	 1	  2.0076e-01	  2.0076e-01	  1.0000e+00	
           0.06	              0	              0	            120	 1	  1.7319e-01	  1.7319e-01	  1.0000e+00	
          0.062	              0	              0	            120	 1	  1.4691e-01	  1.4691e-01	  1.0000e+00	
          0.064	              0	              0	            120	 1	  1.2250e-01	  1.2250e-01	  1.0000e+00	
          0.066	              0	              0	            120	 1	  1.0037e-01	  1.0037e-01	  1.0000e+00	
          0.068	              0	              0	            120	 1	  8.0792e-02	  8.0792e-02	  1.0000e+00	
           0.07	              0	              0	            120	 1	  6.3878e-02	  6.3878e-02	  1.0000e+00	
          0.072	              0	              0	            120	 1	  4.9604e-02	  4.9604e-02	  1.0000e+00	
          0.074	              0	              0	            120	 1	  3.7830e-02	  3.7830e-02	  1.0000e+00	
          0.076	              0	              0	            120	 1	  2.8336e-02	  2.8336e-02	  1.0000e+00	
          0.078	              0	              0	            120	 1	  2.0847e-02	  2.0847e-02	  1.0000e+00	
           0.08	              0	              0	            120	 1	  1.5067e-02	  1.5067e-02	  1.0000e+00	
          0.082	              0	              0	            120	 1	  1.0699e-02	  1.0699e-02	  1.0000e+00	
          0.084	              0	              0	            120	 1	  7.4654e-03	  7.4654e-03	  1.0000e+00	
          0.086	              0	              0	            120	 1	  5.1200e-03	  5.1200e-03	  1.0000e+00	
          0.088	              0	              0	            120	 1	  3.4521e-03	  3.4521e-03	  1.0000e+00	
           0.09	              0	              0	            120	 1	  2.2888e-03	  2.2888e-03	  1.0000e+00	
          0.092	              0	              0	            120	 1	  1.4925e-03	  1.4925e-03	  1.0000e+00	
          0.094	              0	              0	            120	 1	  9.5752e-04	  9.5752e-04	  1.0000e+00	
          0.096	              0	              0	            120	 1	  6.0450e-04	  6.0450e-04	  1.0000e+00	
          0.098	              0	              0	            120	 1	  3.7565e-04	  3.7565e-04	  1.0000e+00	
            0.1	              0	              0	            120	 1	  2.2983e-04	  2.2983e-04	  1.0000e+00	
          0.102	              0	              0	            120	 1	  1.3848e-04	  1.3848e-04	  1.0000e+00	
          0.104	              0	              0	            120	 1	  8.2191e-05	  8.2191e-05	  1.0000e+00	
          0.106	              0	              0	            120	 1	  4.8066e-05	  4.8066e-05	  1.0000e+00	
          0.108	              0	              0	            120	 1	  2.7704e-05	  2.7704e-05	  1.0000e+00	
           0.11	              0	              0	            120	 1	  1.5741e-05	  1.5741e-05	  1.0000e+00	
          0.112	              0	              0	            120	 1	  8.8186e-06	  8.8186e-06	  1.0000e+00	
          0.114	              0	              0	            120	 1	  4.8727e-06	  4.8727e-06	  1.0000e+00	
          0.116	              0	              0	            120	 1	  2.6561e-06	  2.6561e-06	  1.0000e+00	
          0.118	              0	              0	            120	 1	  1.4286e-06	  1.4286e-06	  1.0000e+00	
           0.12	              0	              0	            120	 1	  9.9378e-07	  9.9378e-07	  1.0000e+00	
