              x	              y	              z	           time	in	          Na	          Cl	          Br	           X	           Y	       Hfo_w	        Surf	     Calcite	   d_Calcite	      Gypsum	    d_Gypsum	Strontianite	d_Strontianite	    pressure	   total mol	      volume	     g_N2(g)	k_K-feldspar	dk_K-feldspar	    k_Pyrite	   dk_Pyrite	 s_Anhydrite	 s_Celestite	    s_Barite	  s_Siderite	s_Rhodochrosite	
              0              0              0              0 1	  3.7499e-01	  9.9988e-04	  9.9988e-04	  9.9988e-01	  9.9988e-01	  9.9988e-01	  9.9988e-01	  1.1097e+00	  1.0972e-01	  0  0  0  0  7.7073e-01	  3.1502e-02	  1.0000e+00	  3.1502e-02	  0 0  0 0  6.5588e-01	  9.9887e-02	  1.0000e-02	  8.9019e-01	  9.8162e-02	
              2	              0              0              0 1	  3.7569e-01	  1.1998e-03	  7.9988e-04	  1.1998e+00	  7.9988e-01	  1.1998e+00	  7.9988e-01	  1.3319e+00	  1.3188e-01	  0  0  0  0  7.7226e-01	  3.7877e-02	  1.2000e+00	  3.7877e-02	  0 0  0 0  8.2585e-01	  1.1987e-01	  1.2000e-02	  6.6852e-01	  7.7681e-02	
              4	              0              0              0 1	  3.7616e-01	  1.3997e-03	  5.9989e-04	  1.3997e+00	  5.9989e-01	  1.3997e+00	  5.9989e-01	  1.5537e+00	  1.5370e-01	  0  0  0  0  7.7336e-01	  4.4253e-02	  1.4000e+00	  4.4253e-02	  0 0  0 0  9.9616e-01	  1.3986e-01	  1.4000e-02	  4.4735e-01	  5.7045e-02	
              6	              0              0              0 1	  3.7651e-01	  1.5997e-03	  3.9992e-04	  1.5997e+00	  3.9992e-01	  1.5997e+00	  3.9992e-01	  1.7744e+00	  1.7436e-01	  0  0  0  0  7.7418e-01	  5.0629e-02	  1.6000e+00	  5.0629e-02	  0 0  0 0  1.1672e+00	  1.5984e-01	  1.6000e-02	  2.2786e-01	  3.5886e-02	
              8	              0              0              0 1	  3.7681e-01	  1.7996e-03	  1.9995e-04	  1.7996e+00	  1.9995e-01	  1.7996e+00	  1.9995e-01	  1.9841e+00	  1.8405e-01	  0  0  0  0  7.7483e-01	  5.7005e-02	  1.8000e+00	  5.7005e-02	  0 0  0 0  1.3441e+00	  1.7983e-01	  1.8000e-02	  2.4532e-02	  9.6113e-03	
             10	              0              0              0 1	  3.7736e-01	  1.9992e-03	  0  1.9992e+00	  0  1.9992e+00	  0  1.9989e+00	 -1.0511e-03	  0  0  0  0  7.7534e-01	  6.3381e-02	  2.0000e+00	  6.3381e-02	  0 0  0 0  1.5967e+00	  1.9980e-01	  2.0000e-02	  0  0 
              0              0              0            0.5	 1	  3.6167e-01	  1.0007e-03	  9.9903e-04	  9.9989e-01	  9.9989e-01	  9.9989e-01	  9.9989e-01	  1.1096e+00	 -1.5514e-04	  0  0  0  0  7.6987e-01	  3.1467e-02	  1.0000e+00	  3.1467e-02	  1.0000e+00	  4.6618e-13	  1.0000e+00	 0  6.4483e-01	  9.9878e-02	  1.0000e-02	  8.9020e-01	  9.8162e-02	
              2	              0              0            0.5	 1	  3.7564e-01	  1.1948e-03	  8.0486e-04	  1.1998e+00	  7.9988e-01	  1.1998e+00	  7.9988e-01	  1.3319e+00	 -2.9174e-07	  0  0  0  0  7.7226e-01	  3.7877e-02	  1.2000e+00	  3.7877e-02	  1.2000e+00	  4.6607e-13	  8.0000e-01	 0  8.2581e-01	  1.1987e-01	  1.2000e-02	  6.6852e-01	  7.7681e-02	
              4	              0              0            0.5	 1	  3.7616e-01	  1.3947e-03	  6.0489e-04	  1.3997e+00	  5.9989e-01	  1.3997e+00	  5.9989e-01	  1.5537e+00	  1.2923e-07	  0  0  0  0  7.7336e-01	  4.4253e-02	  1.4000e+00	  4.4253e-02	  1.4000e+00	  4.6607e-13	  6.0000e-01	 0  9.9615e-01	  1.3986e-01	  1.4000e-02	  4.4735e-01	  5.7045e-02	
              6	              0              0            0.5	 1	  3.7651e-01	  1.5947e-03	  4.0491e-04	  1.5997e+00	  3.9992e-01	  1.5997e+00	  3.9992e-01	  1.7744e+00	  2.6964e-07	  0  0  0  0  7.7418e-01	  5.0629e-02	  1.6000e+00	  5.0629e-02	  1.6000e+00	  4.6563e-13	  4.0000e-01	 0  1.1672e+00	  1.5984e-01	  1.6000e-02	  2.2786e-01	  3.5886e-02	
              8	              0              0            0.5	 1	  3.7681e-01	  1.7946e-03	  2.0495e-04	  1.7996e+00	  1.9995e-01	  1.7996e+00	  1.9995e-01	  1.9841e+00	  1.4349e-06	  0  0  0  0  7.7483e-01	  5.7005e-02	  1.8000e+00	  5.7005e-02	  1.8000e+00	  4.6385e-13	  2.0000e-01	 0  1.3440e+00	  1.7983e-01	  1.8000e-02	  2.4532e-02	  9.6112e-03	
             10	              0              0            0.5	 1	  3.7734e-01	  1.9888e-03	  1.0404e-05	  1.9992e+00	  0  1.9992e+00	  0  1.9990e+00	  3.4310e-05	  0  0  0  0  7.7534e-01	  6.3381e-02	  2.0000e+00	  6.3381e-02	  2.0000e+00	  4.5031e-13	  0 0  1.5966e+00	  1.9980e-01	  2.0000e-02	  0  0 
