 x	y	z_datum	Time	Well_no	H2O                           	H                             	O                             	Charge                        	As                            	C                             	Ca                            	Cl                            	Mg                            	Na                            	S                             	pH	pe	Alkalinity	
   1.2000000E+04	  3.6000000E+04	  1.1000000E+02	  1.5000000E+04	  1	  5.2846630E+01	  1.2356697E-02	  6.2187192E-02	  2.3561346E-02	  1.5307381E-08	  2.1165329E-02	  1.3203047E-01	  2.3144876E+00	  6.8073047E-02	  1.9537840E+00	  1.7884069E-03	  5.6467982E+00	  1.5021269E+01	  1.3436622E-02	
   1.2000000E+04	  3.6000000E+04	  1.1000000E+02	  1.6000000E+04	  1	  5.3118350E+01	  1.2972815E-02	  6.6071724E-02	  2.6642629E-02	  1.3916649E-08	  2.3109421E-02	  1.1602112E-01	  2.0768443E+00	  6.1466342E-02	  1.7647531E+00	  1.6288928E-03	  5.6761042E+00	  1.4987754E+01	  1.3978041E-02	
   1.2000000E+04	  3.6000000E+04	  1.1000000E+02	  1.7000000E+04	  1	  5.3366468E+01	  1.3494712E-02	  6.9358461E-02	  2.9276974E-02	  1.2545454E-08	  2.4774778E-02	  1.0169168E-01	  1.8598198E+00	  5.5242335E-02	  1.5917024E+00	  1.4832186E-03	  5.7098183E+00	  1.4950070E+01	  1.4435011E-02	
   1.2000000E+04	  3.6000000E+04	  1.1000000E+02	  1.8000000E+04	  1	  5.3591650E+01	  1.3942302E-02	  7.2043680E-02	  3.1422017E-02	  1.1289753E-08	  2.6150398E-02	  8.8929776E-02	  1.6627976E+00	  4.9437343E-02	  1.4341441E+00	  1.3509707E-03	  5.7465433E+00	  1.4909652E+01	  1.4829486E-02	
   1.2000000E+04	  3.6000000E+04	  1.1000000E+02	  1.9000000E+04	  1	  5.3794982E+01	  1.4331462E-02	  7.4155345E-02	  3.3075783E-02	  1.0192662E-08	  2.7243600E-02	  7.7613730E-02	  1.4848083E+00	  4.4071495E-02	  1.2913246E+00	  1.2314984E-03	  5.7852992E+00	  1.4867494E+01	  1.5176774E-02	
   1.2000000E+04	  3.6000000E+04	  1.1000000E+02	  2.0000000E+04	  1	  5.3977817E+01	  1.4673831E-02	  7.5738065E-02	  3.4261794E-02	  9.2629269E-09	  2.8072429E-02	  6.7618351E-02	  1.3246609E+00	  3.9150977E-02	  1.1623243E+00	  1.1240020E-03	  5.8254157E+00	  1.4824268E+01	  1.5487083E-02	
   1.2000000E+04	  3.6000000E+04	  1.1000000E+02	  2.1000000E+04	  1	  5.4141655E+01	  1.4977601E-02	  7.6844003E-02	  3.5018235E-02	  8.4905067E-09	  2.8660588E-02	  5.8819354E-02	  1.1810424E+00	  3.4670655E-02	  1.0461338E+00	  1.0276005E-03	  5.8664446E+00	  1.4780416E+01	  1.5767096E-02	
   1.2000000E+04	  3.6000000E+04	  1.1000000E+02	  2.2000000E+04	  1	  5.4288057E+01	  1.5248452E-02	  7.7527565E-02	  3.5390629E-02	  7.8572882E-09	  2.9034217E-02	  5.1096591E-02	  1.0525930E+00	  3.0616696E-02	  9.4171054E-01	  9.4138092E-04	  5.9080938E+00	  1.4736214E+01	  1.6021181E-02	
   1.2000000E+04	  3.6000000E+04	  1.1000000E+02	  2.3000000E+04	  1	  5.4418581E+01	  1.5490336E-02	  7.7842321E-02	  3.5427102E-02	  7.3436140E-09	  2.9219893E-02	  4.4336256E-02	  9.3795886E-01	  2.6968953E-02	  8.4801893E-01	  8.6443467E-04	  5.9501796E+00	  1.4691832E+01	  1.6252233E-02	
   1.2000000E+04	  3.6000000E+04	  1.1000000E+02	  2.4000000E+04	  1	  5.4534737E+01	  1.5706045E-02	  7.7839202E-02	  3.5175375E-02	  6.9318485E-09	  2.9243395E-02	  3.8432238E-02	  8.3582956E-01	  2.3703010E-02	  7.6405827E-01	  7.9588206E-04	  5.9925924E+00	  1.4647357E+01	  1.6462198E-02	
   1.2000000E+04	  3.6000000E+04	  1.1000000E+02	  2.5000000E+04	  1	  5.4637959E+01	  1.5897594E-02	  7.7565461E-02	  3.4680922E-02	  6.6079943E-09	  2.9128967E-02	  3.3286819E-02	  7.4496187E-01	  2.0791861E-02	  6.8888064E-01	  7.3488862E-04	  6.0352733E+00	  1.4602831E+01	  1.6652401E-02	
   1.2000000E+04	  3.6000000E+04	  1.1000000E+02	  2.6000000E+04	  1	  5.4729590E+01	  1.6066466E-02	  7.7064125E-02	  3.3985897E-02	  6.3622326E-09	  2.8898892E-02	  2.8810889E-02	  6.6419447E-01	  1.8207244E-02	  6.2160156E-01	  6.8067483E-04	  6.0781973E+00	  1.4558259E+01	  1.6823727E-02	
   1.2000000E+04	  3.6000000E+04	  1.1000000E+02	  2.7000000E+04	  1	  5.4810867E+01	  1.6213769E-02	  7.6373759E-02	  3.3128580E-02	  6.1885466E-09	  2.8573296E-02	  2.4923834E-02	  5.9245542E-01	  1.5920665E-02	  5.6140526E-01	  6.3252118E-04	  6.1213611E+00	  1.4513623E+01	  1.6976732E-02	
   1.2000000E+04	  3.6000000E+04	  1.1000000E+02	  2.8000000E+04	  1	  5.4882924E+01	  1.6340335E-02	  7.5528452E-02	  3.2143162E-02	  6.0844812E-09	  2.8170086E-02	  2.1553200E-02	  5.2876454E-01	  1.3904158E-02	  5.0754611E-01	  5.8976972E-04	  6.1647754E+00	  1.4468898E+01	  1.7111701E-02	
   1.2000000E+04	  3.6000000E+04	  1.1000000E+02	  2.9000000E+04	  1	  5.4946789E+01	  1.6446783E-02	  7.4557967E-02	  3.1059763E-02	  6.0503577E-09	  2.7704992E-02	  1.8634224E-02	  4.7223231E-01	  1.2130840E-02	  4.5934745E-01	  5.5182340E-04	  6.2084591E+00	  1.4424045E+01	  1.7228698E-02	
   1.2000000E+04	  3.6000000E+04	  1.1000000E+02	  3.0000000E+04	  1	  5.5003386E+01	  1.6533565E-02	  7.3487991E-02	  2.9904607E-02	  6.0887049E-09	  2.7191677E-02	  1.6109289E-02	  4.2205640E-01	  1.0575278E-02	  4.1619866E-01	  5.1814364E-04	  6.2524355E+00	  1.4379029E+01	  1.7327595E-02	
   1.2000000E+04	  3.6000000E+04	  1.1000000E+02	  3.1000000E+04	  1	  5.5053546E+01	  1.6601002E-02	  7.2340456E-02	  2.8700272E-02	  6.2037142E-09	  2.6641882E-02	  1.3927353E-02	  3.7751668E-01	  9.2137313E-03	  3.7755112E-01	  4.8824709E-04	  6.2967290E+00	  1.4333808E+01	  1.7408105E-02	
